AA,FM,SBM,BSF
lys__L,83.11229001,64.42131047,61.94163192
thr__L,45.68228706,36.74219228,42.88266825
met__L,30.651341,14.45192897,20.64721064
cys__L,9.283819629,17.39130435,6.154457018
trp__L,11.34689066,15.79914268,16.0810006
ile__L,46.41909814,46.05021433,48.64006353
val__L,54.81874447,49.96938151,67.89755807
leu__L,79.13351017,80.22045315,77.62557078
phe__L,42.88240495,52.17391304,43.08119913
tyr__L,34.04067197,36.00734844,68.49315068
his__L,26.23047451,26.94427434,33.15465555
arg__L,71.91276157,75.44396816,53.40480445
ala__L,68.22870616,44.33557869,70.4784594
asp__L,50.10315355,59.33864054,50.32757594
asn__L,50.10315355,59.33864054,50.32757594
glu__L,69.92337165,93.69259032,55.58864403
gln__L,69.92337165,93.69259032,55.58864403
gly,68.81815503,41.8860992,66.70637284
ser__L,42.88240495,41.27372933,47.05181656
pro__L,44.50338933,50.82669933,63.92694064
weight,1.54,0.37,3
