AA,FM,SBM,BSF
lys__L,0.565389727959184,0.438240207278912,0.421371645714286
thr__L,0.383884765210084,0.308757918319328,0.360358556722689
met__L,0.205713697986577,0.0969928118791946,0.138571883489933
cys__L,0.0767257820578512,0.143729788016529,0.0508632811404959
trp__L,0.0556220130392157,0.0774467778431372,0.0788284343137255
ile__L,0.354344260610687,0.351528353664122,0.371298194885496
val__L,0.468536277521368,0.427088730854701,0.580321009145299
leu__L,0.604072596717557,0.612369871374046,0.592561609007634
phe__L,0.259893363333333,0.316205533575758,0.261098176545455
tyr__L,0.188070010883978,0.198935626740331,0.378415197127072
his__L,0.169228867806452,0.173834028,0.213901003548387
arg__L,0.410930066114286,0.431108389485714,0.305170311142857
ala__L,0.766614675955056,0.498152569550562,0.791892802247191
asp__L,0.379569345075758,0.449535155606061,0.38126951469697
asn__L,0.379569345075758,0.449535155606061,0.38126951469697
glu__L,0.478927203082192,0.641730070684931,0.380744137191781
gln__L,0.478927203082192,0.641730070684931,0.380744137191781
gly,0.9175754004,0.558481322666667,0.889418304533333
ser__L,0.408403856666667,0.39308313647619,0.448112538666667
pro__L,0.386985994173913,0.441971298521739,0.555886440347826
weight,1.54,0.37,3
